Date,CPI
10/1/2016,1.635987521
11/1/2016,1.692537163
12/1/2016,2.074622133
1/1/2017,2.500042209
2/1/2017,2.737958171
3/1/2017,2.380612433
4/1/2017,2.199689878
5/1/2017,1.874877721
6/1/2017,1.633487955
7/1/2017,1.727978456
8/1/2017,1.938974212
9/1/2017,2.232963865
10/1/2017,2.041128702
11/1/2017,2.202582939
12/1/2017,2.109082475
1/1/2018,2.07050762
2/1/2018,2.211795421
3/1/2018,2.359711404
4/1/2018,2.462743943
5/1/2018,2.801011715
6/1/2018,2.871547835
7/1/2018,2.949515087
8/1/2018,2.699180104
9/1/2018,2.276972194
10/1/2018,2.522469929
11/1/2018,2.176601032
12/1/2018,1.910158849
1/1/2019,1.551235138
2/1/2019,1.520135266
3/1/2019,1.862522741
4/1/2019,1.996439776
5/1/2019,1.790228469
6/1/2019,1.648484656
7/1/2019,1.811464806
8/1/2019,1.749779889
9/1/2019,1.711304513
10/1/2019,1.764042944
11/1/2019,2.051277982
12/1/2019,2.28512974
1/1/2020,2.486571955
